"","match_ID","compound_name","elem_formula","LOBdbase_mz","peakgroup_mz","LOBdbase_ppm_match","peakgroup_rt","peakgroup_mzmin","peakgroup_mzmax","peakgroup_rtmin","peakgroup_rtmax","mzXML_neg","Orbi_1229","Orbi_1230","Orbi_1231","Orbi_1232","Orbi_1233","Orbi_1234","Orbi_1235","Orbi_1236","Orbi_1237","Orbi_1238","Orbi_1240","Orbi_1241","Orbi_1242","Orbi_1243","Orbi_1244","Orbi_1245","Orbi_1246","Orbi_1247","Orbi_1251","Orbi_1253","Orbi_1254","Orbi_1255","Orbi_1256","Orbi_1264","Orbi_1265","Orbi_1266","Orbi_1268","Orbi_1269","Orbi_1270","Orbi_1271","Orbi_1273","Orbi_1274","Orbi_1275","Orbi_1276","Orbi_1277","Orbi_1279","Orbi_1280","Orbi_1281","Orbi_1282","Orbi_1283","Orbi_1284","Orbi_1285","Orbi_1286","Orbi_1287","Orbi_1288","Orbi_1289","Orbi_1290","Orbi_1291","Orbi_1292","Orbi_1293","Orbi_1294","Orbi_1295","Orbi_1296","Orbi_1297","Orbi_1298","Orbi_1299","Orbi_1309","Orbi_1310","Orbi_1311","Orbi_1312","Orbi_1315","Orbi_1316","Orbi_1327","Orbi_1331","xcms_peakgroup","CAMERA_pseudospectrum","LOBdbase_frag_ID","LOBdbase_exact_parent_neutral_mass","lipid_class","species","major_adduct","FA_total_no_C","FA_total_no_DB","degree_oxidation","C1","C1x","C2a","C2b","C3c","C3f","C3r","C4","C5","C6a","C6b","casecodes","iso_C3r.match_ID","iso_C3f.match_ID","iso_C3c.match_ID"
"1",1,"FFA 20:5","C20H30O2",301.21730398,301.21697882161,1.07948111176398,445.994652257047,301.216086895486,301.217430983773,437.139126186123,466.700760835342,60,1283888785.7192,367825891.28375,51401940.9506249,534624706.452696,321881053.44065,859270504.647801,109137397.668134,371693592.061359,423292733.1452,430941110.016712,107381003.78565,25342992.966625,257732482.642986,63909001.8611937,1340752096.8616,72248703.3025563,129428278.269912,3638941653.9531,115327109.178749,841123787.940873,267327119.962708,456044047.322041,222275930.665868,552148921.891125,160359824.744175,357167457.9757,158903299.555425,1605170141.42844,6369008892.83848,1170319551.84941,2611759580.313,1400010675.6912,510132938.763613,532649502.7784,154906233.056606,511688917.75475,1060869173.0688,69077713.0543501,380348501.976038,154342024.860034,2920570086.252,581316960.853275,660739032.751625,324752096.083948,235973978.899453,443157.60531703,45011964.2537274,443223037.410388,2511861528.29428,3298340975.45394,1066276636.9821,1122043655.46777,208239331.5361,797300876.702188,682497380.2235,5544366651.74521,1710275094.5841,3354421557.26667,427884337.6935,195416028.469792,876908972.200799,94547705.6042874,1275195933.32865,555842427.1568,640,1,225,302.22458044,"FFA","FFA","[M-H]-",20,5,0,1,0,0,0,0,0,0,0,0,0,0,"C1","","",""
"7",2,"FFA 22:5 +2O","C22H34O4",361.23843338,361.238778408467,-0.955126685224671,445.426249874083,361.238179209088,361.239090531116,438.811551980694,449.734076923902,38,2635432.48362413,633391.097054475,2448661.20338315,1034768.51037789,549513.49823171,1671837.2982072,139546.727589276,572238.187994746,692522.148818554,712301.162025825,123904.230659099,643293.94853153,377751.758875489,96518.8779878527,2377575.95803037,76182.7725596145,156324.753219018,6466416.37568457,127333.282806431,1280404.08919482,348827.730640625,548766.754078358,296871.628622319,129544.009345934,97229.4972806545,578579.680741971,1024047.14966309,3003350.95246074,12854778.4465977,2081906.17014577,6892746.95896875,4597961.31716976,977700.880840116,926747.636955827,228476.95322583,936843.40189407,2079392.91918732,5204185.24023837,1168667.63288889,237825.236165876,6318827.26094744,1114034.99725488,15154578.4155558,4356498.87997773,428076.04990986,0,51281.1924637373,817413.182660514,7373873.16999893,7095213.20562109,1962630.88560132,2319474.89507344,422715.402667074,1467859.5538855,1198181.51562359,11013711.3173074,3053288.58313685,8619760.65783638,777485.580249109,308359.328344029,7854971.73493089,4344589.86269422,2441888.91014282,968432.462787997,1056,1,272,362.24570984,"FFA","FFA","[M-H]-",22,5,2,1,0,0,0,0,0,1,0,0,0,0,"C1; C3r","2, 748","",""
"38",3,"FFA 20:0 +4O","C20H40O6",375.27521286,375.275363950624,-0.402612852105472,447.076400286735,375.274599839821,375.275859541113,441.492317100626,450.796380443502,33,6457215.01785644,39119.5251205024,292121.294277267,114157.359856841,69916.2366786442,6429933.53691133,458251.285464063,1531723.59980006,177027.248164226,256347.710191772,26591.1890893051,263295.965636556,14486.6943793696,17027.780240929,514530.264556966,6459.17466761626,67962.1880898199,1345630.88805356,27614.9943207397,442716.738537706,46054.8641438115,583015.604203125,12173.6745040322,1250373.56275,175677.788519714,79901.8511274732,16588.9567900912,8975138.3489203,5894546.93871709,3550302.99273964,2766584.54449707,723394.393105252,111716.991525583,537090.194118303,0,4373503.23440523,9837995.38973908,1398283.79496094,705381.310521094,418831.465770703,8895053.02055781,72025.9714631588,1422186.51352083,205476.576430457,158688.95659985,0,61472.4272232575,596895.306538303,110891.722199232,3400794.90695313,4598675.58226905,9010320.67436308,156166.82213959,2593658.97504536,112503.296408565,5717961.57320924,827622.800041725,598362.050225774,74335.6456711202,307867.556892212,626856.589889196,198857.57558611,6951937.70667578,278919.630252022,1160,1,204,376.28248932,"FFA","FFA","[M-H]-",20,0,4,1,0,0,0,0,1,0,0,0,0,0,"C1; C3f","","3, 4",""
"381",4,"MAG 17:0 +2O","C20H40O6",375.27521286,375.275363950624,-0.402612852105472,447.076400286735,375.274599839821,375.275859541113,441.492317100626,450.796380443502,33,6457215.01785644,39119.5251205024,292121.294277267,114157.359856841,69916.2366786442,6429933.53691133,458251.285464063,1531723.59980006,177027.248164226,256347.710191772,26591.1890893051,263295.965636556,14486.6943793696,17027.780240929,514530.264556966,6459.17466761626,67962.1880898199,1345630.88805356,27614.9943207397,442716.738537706,46054.8641438115,583015.604203125,12173.6745040322,1250373.56275,175677.788519714,79901.8511274732,16588.9567900912,8975138.3489203,5894546.93871709,3550302.99273964,2766584.54449707,723394.393105252,111716.991525583,537090.194118303,0,4373503.23440523,9837995.38973908,1398283.79496094,705381.310521094,418831.465770703,8895053.02055781,72025.9714631588,1422186.51352083,205476.576430457,158688.95659985,0,61472.4272232575,596895.306538303,110891.722199232,3400794.90695313,4598675.58226905,9010320.67436308,156166.82213959,2593658.97504536,112503.296408565,5717961.57320924,827622.800041725,598362.050225774,74335.6456711202,307867.556892212,626856.589889196,198857.57558611,6951937.70667578,278919.630252022,1160,1,36557,376.28248932,"IP_MAG","MAG","[M-H]-",17,0,2,1,0,0,0,0,1,0,0,0,0,0,"C1; C3f","","3, 4",""
"41",5,"DAG 42:10 +1O","C45H68O6",703.49431398,703.494956380974,-0.913157307935791,441.975167213097,703.494279000812,703.495855275282,439.325602553285,445.125018572014,18,2164253.92966608,224438.270469728,869381.111801405,229493.8354393,104010.318647483,1139863.3165876,18031.573760197,252761.451134437,245432.378757935,341056.261743164,8906.73782143375,280264.528839355,168757.021174479,0,612380.226199287,10861.0226116159,9286.32381172369,1108605.2618055,24625.0568776013,889754.560253366,223357.483535156,241026.200683594,267656.402335111,197702.638369141,0,19086.2164399168,37466.4101215294,1928818.81282278,3060178.83177876,1177617.46700735,1778212.44837696,1249631.05508163,323951.164461914,95921.2994672067,0,257050.020286621,1390123.35468034,1756896.68680664,76518.8175844997,0,2670887.96067773,290813.234835612,2375964.764375,3759522.74508944,14835.6265494974,0,0,131447.911643283,1587148.68116318,2750635.33592015,1345768.52241406,1272970.0043451,51985.0285252181,618180.570826985,603088.983070343,4485545.67303491,2204573.37981338,2893187.91660386,261386.046369141,23783.1792856366,2942395.2437842,1444850.53347914,2115800.85843321,694349.346086367,3786,1,36021,704.50159044,"IP_DAG","DAG","[M-H]-",42,10,1,1,0,0,0,0,0,0,0,0,0,0,"C1","","",""
"44",6,"DAG 22:3 +1O","C25H42O6",437.29086294,437.290889933646,-0.0617292710402429,449.339224265096,437.290582308959,437.29141156136,443.861486608935,454.071881834435,31,3351316.99761579,356878.599911177,267205.093744419,398413.294056286,106157.276382538,5427669.58888624,238020.846043422,1498100.59230176,384551.5574217,388056.83401062,71346.0079251516,389931.156960205,164237.916401856,39556.9026166119,169953.033056439,37863.704624574,56384.8897258431,98341.6004488229,98739.0838816555,544801.82010431,193673.299373369,134667.951019043,268927.215138231,1426461.23144275,87295.6310959574,283012.124860003,40235.5635619767,7917372.09626171,415490.226508911,2276246.32719531,598497.901480459,267151.347843749,1039088.23151158,195647.938324631,56848.8467416914,1955146.31652902,8910550.89800224,271210.481791992,1134095.46877844,204131.85215295,10158538.1024275,939078.18274939,276809.403498406,1842422.2812598,108669.850834184,0,111786.536111475,165548.961474329,129835.933698655,604841.21054599,3413022.14870655,3370787.28092286,148140.71353345,1910927.50477274,380484.135665137,903766.157196788,2246317.67354911,356366.336142726,434544.72772238,157830.368090625,370302.681659993,337696.607573088,3509561.61447614,473840.407442505,1503,1,35166,438.2981394,"IP_DAG","DAG","[M-H]-",22,3,1,1,0,0,0,0,1,1,0,0,0,0,"C1; C3f; C3r","6, 127","6, 7",""
"441",7,"MAG 22:4 +2O","C25H42O6",437.29086294,437.290889933646,-0.0617292710402429,449.339224265096,437.290582308959,437.29141156136,443.861486608935,454.071881834435,31,3351316.99761579,356878.599911177,267205.093744419,398413.294056286,106157.276382538,5427669.58888624,238020.846043422,1498100.59230176,384551.5574217,388056.83401062,71346.0079251516,389931.156960205,164237.916401856,39556.9026166119,169953.033056439,37863.704624574,56384.8897258431,98341.6004488229,98739.0838816555,544801.82010431,193673.299373369,134667.951019043,268927.215138231,1426461.23144275,87295.6310959574,283012.124860003,40235.5635619767,7917372.09626171,415490.226508911,2276246.32719531,598497.901480459,267151.347843749,1039088.23151158,195647.938324631,56848.8467416914,1955146.31652902,8910550.89800224,271210.481791992,1134095.46877844,204131.85215295,10158538.1024275,939078.18274939,276809.403498406,1842422.2812598,108669.850834184,0,111786.536111475,165548.961474329,129835.933698655,604841.21054599,3413022.14870655,3370787.28092286,148140.71353345,1910927.50477274,380484.135665137,903766.157196788,2246317.67354911,356366.336142726,434544.72772238,157830.368090625,370302.681659993,337696.607573088,3509561.61447614,473840.407442505,1503,1,36682,438.2981394,"IP_MAG","MAG","[M-H]-",22,4,2,1,0,0,0,0,1,1,0,0,0,0,"C1; C3f; C3r","7, 128","6, 7",""
"50",8,"MGDG 34:9","C43H64O10",799.4638017,799.464442393733,-0.801404306321394,451.024987242832,799.463914329262,799.46545331789,448.411791526062,455.329775261642,25,21154158.3168047,0,86061.2658485999,9110368.68335068,0,70264526.5853438,2640258.4801709,15129303.0814479,11132009.3228623,10725667.5383817,0,7695979.57497222,0,0,94151.9846598253,0,0,110003.495430062,21791.2407364075,31861389.9052715,0,36188.547204984,0,19231866.8973507,0,971548.370167089,0,151652515.257934,7262860.91011154,51986956.8068594,538490.633152341,377751.0448234,0,0,0,38308646.0348628,101434448.540469,552853.316065761,11178164.8390869,2016200.76585479,221986971.256264,0,272056.83206612,6157529.03029571,0,0,0,24814.6612811848,313471.245024902,614043.575966174,45936022.7482852,66507184.5948086,0,43026729.5384896,56663.7504354952,4871436.80053223,32384566.1023242,363960.128352192,0,35452.4468644759,378820.026670071,115833.172903831,39106033.5809375,10117.7696136562,4854,1,68658,740.44994876,"IP_DAG","MGDG","[M+HAc-H]-",34,9,0,1,0,0,0,0,0,1,0,0,0,0,"C1; C3r","8, 637, 703","",""
"58",9,"MAG 18:3","C21H36O4",351.25408346,351.254312914711,-0.653244252989295,441.621837276971,351.253938430315,351.254733912762,434.191693017982,445.305818347162,26,299510.619202497,0,660347.198852932,592586.859592552,86789.0515552797,816027.818348715,55303.2504678374,564108.416995455,457396.986912232,445556.356245484,0,466911.521867187,0,0,220130.185894621,0,0,1481595.98720182,0,557504.237798828,6934.58797230041,91092.7819645476,0,524684.494500134,100493.63428895,17453.1025418816,0,904631.208789964,3086996.05906435,646746.850326009,1721873.9181875,5525645.48893779,0,213515.34746126,0,851264.181074442,1293224.0472456,2782479.69186951,106300.859492943,13226.5793100878,2491587.8555927,0,2929108.90435472,72737.5363056281,0,0,0,332219.26342804,1143094.32520437,1575692.81983252,854910.447912598,650910.135758463,0,545129.564713542,0,3432524.14750231,2564822.06417513,1228345.90890092,0,0,1204808.73041662,186362.990892559,1507381.77927273,0,1007,1,36585,352.26135992,"IP_MAG","MAG","[M-H]-",18,3,0,1,0,0,0,0,0,0,0,0,0,0,"C1","","",""
"110",10,"PE 34:1","C39H76N1O8P1",716.52357906,716.523942106424,-0.506677566751845,979.847259927525,716.523596508985,716.524113777157,975.779645937868,983.021885855442,63,14349971.435647,2015337.55608737,1886345.62152257,877266.045636475,1406185.89036298,2686991.92909082,1963202.01023438,1625586.69748233,768688.520758132,970072.725684137,2669355.72344825,790628.525688152,2784835.43142342,832527.632232664,3794113.6824925,2215514.79867794,716181.822239585,1062547.95378451,765241.342901725,1040384.6959726,3744718.97068497,1077068.12384554,1491062.48099078,1823162.81821181,721727.117837943,5501722.97931425,6213146.20383855,5924827.01464725,3647837.83140365,10817282.1459427,5792153.70421439,772725.756928123,7948005.99838866,2452731.68873697,6508235.60778061,5141168.64825002,5935290.22313282,2557000.8715144,4006956.67548067,5106806.37618978,4122295.76563368,8974528.35016148,4256271.33233506,14041556.4128281,3872714.71798221,0,3457744.44046062,2444236.84632682,4766220.40048302,10093271.0849791,7043902.00742051,9644359.19191582,4331542.53590625,6992974.35183595,4130021.06670661,5627821.27505209,7231931.82692185,10165257.986325,5667384.31726759,2642666.02930501,11830792.9409527,8808207.06742428,10433732.9304733,4832011.15419197,3938,2,38180,717.53085552,"IP_DAG","PE","[M-H]-",34,1,0,0,0,1,0,0,0,0,0,0,0,0,"C2a","","",""
